code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,is_attrition,date_registration,module_presentation_length,early_assessment_count_expected,early_assessment_weight_expected,assessment_submission_count_early,assessment_score_mean_early,assessment_score_std_early,assessment_score_max_early,assessment_score_min_early,assessment_weighted_score_sum_early,assessment_mean_submission_delay_early,assessment_late_submission_count_early,assessment_banked_count_early,assessment_type_count_cma_early,assessment_type_count_tma_early,vle_total_clicks_early,vle_event_count_early,vle_active_days_early,vle_unique_sites_early,vle_clicks_dataplus_early,vle_clicks_dualpane_early,vle_clicks_externalquiz_early,vle_clicks_forumng_early,vle_clicks_glossary_early,vle_clicks_homepage_early,vle_clicks_htmlactivity_early,vle_clicks_oucollaborate_early,vle_clicks_oucontent_early,vle_clicks_ouelluminate_early,vle_clicks_ouwiki_early,vle_clicks_page_early,vle_clicks_questionnaire_early,vle_clicks_quiz_early,vle_clicks_repeatactivity_early,vle_clicks_resource_early,vle_clicks_sharedsubpage_early,vle_clicks_subpage_early,vle_clicks_url_early,assessment_submission_ratio_early,assessment_weighted_score_ratio_early,registration_lead_days
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,0,-103.0,268,2,30.0,2.0,72.0,5.656854249492381,76.0,68.0,22.0,-1.0,0.0,0.0,0.0,2.0,763.0,199.0,42.0,36.0,0.0,0.0,0.0,7.0,0.0,201.0,0.0,0.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,85.0,43.0,1.0,0.7333333333333333,103.0
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,0,-47.0,268,2,30.0,2.0,73.5,0.7071067811865476,74.0,73.0,22.1,0.0,0.0,0.0,0.0,2.0,783.0,206.0,41.0,37.0,0.0,0.0,0.0,167.0,0.0,202.0,0.0,2.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,55.0,32.0,1.0,0.7366666666666667,47.0
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,0,-59.0,268,2,30.0,2.0,69.0,2.8284271247461903,71.0,67.0,20.9,-1.0,0.0,0.0,0.0,2.0,725.0,186.0,32.0,31.0,0.0,0.0,0.0,107.0,0.0,132.0,0.0,3.0,387.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,67.0,21.0,1.0,0.6966666666666667,59.0
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,0,-68.0,268,2,30.0,2.0,79.0,8.48528137423857,85.0,73.0,24.3,-3.0,0.0,0.0,0.0,2.0,1415.0,380.0,53.0,53.0,0.0,0.0,0.0,538.0,0.0,210.0,0.0,1.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,22.0,5.0,1.0,0.81,68.0
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,0,-67.0,268,2,30.0,2.0,62.5,28.991378028648448,83.0,42.0,16.700000000000003,0.0,0.0,0.0,0.0,2.0,1160.0,281.0,59.0,39.0,0.0,0.0,0.0,123.0,0.0,232.0,0.0,0.0,651.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,96.0,55.0,1.0,0.5566666666666668,67.0
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,1,-180.0,268,2,30.0,2.0,67.0,1.4142135623730951,68.0,66.0,20.2,-2.5,0.0,0.0,0.0,2.0,170.0,53.0,10.0,25.0,0.0,0.0,0.0,12.0,0.0,37.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,1.0,1.0,0.6733333333333333,180.0
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,0,-95.0,268,2,30.0,2.0,59.5,0.7071067811865476,60.0,59.0,17.9,-1.0,0.0,0.0,0.0,2.0,536.0,124.0,24.0,43.0,1.0,0.0,0.0,77.0,2.0,123.0,0.0,2.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,45.0,21.0,1.0,0.5966666666666666,95.0
AAA,2013J,71361,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,0,-130.0,268,2,30.0,2.0,84.0,2.8284271247461903,86.0,82.0,25.4,-0.5,0.0,0.0,0.0,2.0,1503.0,406.0,56.0,43.0,0.0,0.0,0.0,768.0,0.0,230.0,0.0,1.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,60.0,34.0,1.0,0.8466666666666666,130.0
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail,0,-50.0,268,2,30.0,2.0,39.0,29.698484809834994,60.0,18.0,9.6,1.5,1.0,0.0,0.0,2.0,76.0,43.0,7.0,17.0,0.0,0.0,0.0,6.0,0.0,23.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,0.32,50.0
AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,0,-107.0,268,2,30.0,2.0,66.5,0.7071067811865476,67.0,66.0,19.9,-1.5,0.0,0.0,0.0,2.0,1471.0,307.0,48.0,59.0,1.0,0.0,0.0,388.0,0.0,282.0,0.0,0.0,647.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,93.0,34.0,1.0,0.6633333333333333,107.0
AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,0,-27.0,268,2,30.0,2.0,74.5,2.1213203435596424,76.0,73.0,22.5,-0.5,0.0,0.0,0.0,2.0,397.0,150.0,41.0,26.0,0.0,0.0,0.0,63.0,0.0,120.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,39.0,18.0,1.0,0.75,27.0
AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,0,-31.0,268,2,30.0,2.0,74.5,0.7071067811865476,75.0,74.0,22.3,6.0,2.0,0.0,0.0,2.0,704.0,219.0,43.0,31.0,0.0,0.0,0.0,3.0,0.0,196.0,0.0,0.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,84.0,37.0,1.0,0.7433333333333334,31.0
AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,1,-170.0,268,2,30.0,1.0,74.0,0.0,74.0,74.0,7.4,-2.0,0.0,0.0,0.0,1.0,339.0,102.0,24.0,26.0,0.0,0.0,0.0,12.0,0.0,70.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,57.0,16.0,0.5,0.24666666666666667,170.0
AAA,2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,0,-107.0,268,2,30.0,2.0,60.5,2.1213203435596424,62.0,59.0,18.0,-3.0,0.0,0.0,0.0,2.0,1634.0,214.0,43.0,59.0,2.0,0.0,0.0,31.0,0.0,256.0,0.0,0.0,1164.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,141.0,13.0,1.0,0.6,107.0
AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,0,-62.0,268,2,30.0,2.0,65.5,3.5355339059327378,68.0,63.0,19.9,-3.0,0.0,0.0,0.0,2.0,375.0,125.0,26.0,32.0,3.0,0.0,0.0,116.0,0.0,81.0,0.0,1.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,38.0,14.0,1.0,0.6633333333333333,62.0
AAA,2013J,101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,0,-103.0,268,2,30.0,2.0,74.0,14.142135623730951,84.0,64.0,21.200000000000003,-2.5,0.0,0.0,0.0,2.0,2025.0,338.0,48.0,55.0,14.0,0.0,0.0,219.0,0.0,317.0,0.0,0.0,1242.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,141.0,85.0,1.0,0.7066666666666668,103.0
AAA,2013J,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,0,-107.0,268,2,30.0,2.0,83.0,4.242640687119285,86.0,80.0,25.2,0.0,0.0,0.0,0.0,2.0,905.0,314.0,68.0,39.0,0.0,0.0,0.0,148.0,0.0,249.0,0.0,0.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,43.0,1.0,1.0,0.84,107.0
AAA,2013J,102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,0,-100.0,268,2,30.0,2.0,73.0,4.242640687119285,76.0,70.0,21.6,-1.0,0.0,0.0,0.0,2.0,490.0,121.0,18.0,31.0,0.0,0.0,0.0,106.0,0.0,64.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,39.0,12.0,1.0,0.7200000000000001,100.0
AAA,2013J,104476,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass,0,-109.0,268,2,30.0,2.0,81.5,4.949747468305833,85.0,78.0,24.1,9.5,2.0,0.0,0.0,2.0,1608.0,356.0,49.0,56.0,1.0,0.0,0.0,271.0,0.0,337.0,0.0,5.0,786.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,126.0,65.0,1.0,0.8033333333333333,109.0
AAA,2013J,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,1,5.0,268,2,30.0,2.0,66.5,0.7071067811865476,67.0,66.0,19.9,11.5,2.0,0.0,0.0,2.0,396.0,111.0,20.0,39.0,0.0,0.0,0.0,59.0,0.0,96.0,0.0,1.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,29.0,3.0,1.0,0.6633333333333333,0.0
AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,0,-107.0,268,2,30.0,2.0,54.0,4.242640687119285,57.0,51.0,15.899999999999999,-0.5,0.0,0.0,0.0,2.0,392.0,107.0,18.0,31.0,0.0,0.0,0.0,48.0,0.0,107.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,33.0,0.0,1.0,0.5299999999999999,107.0
AAA,2013J,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,0,-110.0,268,2,30.0,2.0,63.5,3.5355339059327378,66.0,61.0,18.799999999999997,0.0,1.0,0.0,0.0,2.0,446.0,163.0,31.0,43.0,0.0,0.0,0.0,30.0,0.0,115.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,68.0,21.0,1.0,0.6266666666666666,110.0
AAA,2013J,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,0,-43.0,268,2,30.0,1.0,80.0,0.0,80.0,80.0,8.0,-9.0,0.0,0.0,0.0,1.0,1115.0,230.0,48.0,52.0,4.0,0.0,0.0,132.0,1.0,222.0,0.0,2.0,649.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,74.0,22.0,0.5,0.26666666666666666,43.0
AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,0,-26.0,268,2,30.0,2.0,79.0,2.8284271247461903,81.0,77.0,23.5,3.5,1.0,0.0,0.0,2.0,1731.0,416.0,68.0,46.0,3.0,0.0,0.0,436.0,0.0,445.0,0.0,4.0,636.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,122.0,79.0,1.0,0.7833333333333333,26.0
AAA,2013J,114017,F,North Region,Post Graduate Qualification,,35-55,0,60,N,Pass,0,-29.0,268,2,30.0,2.0,71.0,7.0710678118654755,76.0,66.0,21.799999999999997,-1.0,0.0,0.0,0.0,2.0,479.0,117.0,20.0,28.0,0.0,0.0,0.0,5.0,0.0,102.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,90.0,21.0,1.0,0.7266666666666666,29.0
AAA,2013J,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,0,-68.0,268,2,30.0,2.0,76.5,3.5355339059327378,79.0,74.0,23.200000000000003,-1.5,0.0,0.0,0.0,2.0,677.0,210.0,44.0,42.0,7.0,0.0,0.0,86.0,0.0,111.0,0.0,0.0,421.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,29.0,13.0,1.0,0.7733333333333334,68.0
AAA,2013J,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,0,-68.0,268,2,30.0,2.0,71.0,7.0710678118654755,76.0,66.0,20.799999999999997,10.5,1.0,0.0,0.0,2.0,786.0,174.0,34.0,35.0,0.0,0.0,0.0,39.0,0.0,200.0,0.0,0.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,67.0,48.0,1.0,0.6933333333333332,68.0
AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,0,-32.0,268,2,30.0,2.0,74.5,3.5355339059327378,77.0,72.0,22.6,-5.0,0.0,0.0,0.0,2.0,729.0,174.0,43.0,42.0,0.0,0.0,0.0,16.0,0.0,191.0,0.0,0.0,393.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,90.0,33.0,1.0,0.7533333333333334,32.0
AAA,2013J,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,0,-99.0,268,2,30.0,2.0,68.0,7.0710678118654755,73.0,63.0,19.9,0.0,0.0,0.0,0.0,2.0,127.0,52.0,11.0,17.0,0.0,0.0,0.0,7.0,0.0,29.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,28.0,3.0,1.0,0.6633333333333333,99.0
AAA,2013J,123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,0,-82.0,268,2,30.0,2.0,73.5,2.1213203435596424,75.0,72.0,21.9,3.0,1.0,0.0,0.0,2.0,1094.0,279.0,48.0,39.0,0.0,0.0,0.0,227.0,0.0,236.0,0.0,2.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,111.0,48.0,1.0,0.73,82.0
AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,0,-31.0,268,2,30.0,2.0,67.5,2.1213203435596424,69.0,66.0,20.1,7.0,2.0,0.0,0.0,2.0,563.0,213.0,38.0,38.0,0.0,0.0,0.0,115.0,0.0,147.0,0.0,0.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,44.0,11.0,1.0,0.67,31.0
AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,1,-197.0,268,2,30.0,2.0,83.5,2.1213203435596424,85.0,82.0,24.9,-0.5,0.0,0.0,0.0,2.0,817.0,232.0,60.0,47.0,6.0,0.0,0.0,25.0,0.0,236.0,0.0,1.0,486.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,39.0,20.0,1.0,0.83,197.0
AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,0,-75.0,268,2,30.0,2.0,64.0,1.4142135623730951,65.0,63.0,19.3,-1.0,0.0,0.0,0.0,2.0,157.0,36.0,8.0,14.0,0.0,0.0,0.0,10.0,0.0,31.0,0.0,1.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,1.0,0.6433333333333333,75.0
AAA,2013J,134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,0,-96.0,268,2,30.0,2.0,85.0,2.8284271247461903,87.0,83.0,25.3,-1.0,0.0,0.0,0.0,2.0,1060.0,172.0,45.0,47.0,1.0,0.0,0.0,11.0,0.0,192.0,0.0,4.0,802.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,40.0,4.0,1.0,0.8433333333333334,96.0
AAA,2013J,135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn,1,-29.0,268,2,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,25.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,29.0
AAA,2013J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,1,-32.0,268,2,30.0,2.0,61.5,14.849242404917497,72.0,51.0,17.4,-2.5,0.0,0.0,0.0,2.0,268.0,96.0,20.0,28.0,0.0,0.0,0.0,21.0,0.0,57.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,32.0,10.0,1.0,0.58,32.0
AAA,2013J,137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,0,-195.0,268,2,30.0,2.0,76.5,6.363961030678928,81.0,72.0,23.4,-2.0,0.0,0.0,0.0,2.0,2269.0,558.0,67.0,45.0,2.0,0.0,0.0,1259.0,0.0,354.0,0.0,0.0,554.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,72.0,19.0,1.0,0.7799999999999999,195.0
AAA,2013J,141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,0,-61.0,268,2,30.0,2.0,75.5,2.1213203435596424,77.0,74.0,22.5,0.0,0.0,0.0,0.0,2.0,813.0,234.0,31.0,36.0,0.0,0.0,0.0,386.0,0.0,113.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,39.0,10.0,1.0,0.75,61.0
AAA,2013J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,1,-110.0,268,2,30.0,1.0,45.0,0.0,45.0,45.0,4.5,35.0,1.0,0.0,0.0,1.0,134.0,38.0,7.0,19.0,1.0,0.0,0.0,25.0,2.0,30.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,24.0,0.0,0.5,0.15,110.0
AAA,2013J,142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,0,-37.0,268,2,30.0,2.0,70.5,7.7781745930520225,76.0,65.0,21.7,4.5,1.0,0.0,0.0,2.0,712.0,183.0,28.0,43.0,1.0,0.0,0.0,135.0,0.0,147.0,0.0,0.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,72.0,30.0,1.0,0.7233333333333333,37.0
AAA,2013J,144801,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,0,-67.0,268,2,30.0,2.0,62.5,2.1213203435596424,64.0,61.0,18.9,1.0,1.0,0.0,0.0,2.0,2055.0,584.0,69.0,84.0,2.0,0.0,0.0,821.0,1.0,330.0,0.0,2.0,691.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,133.0,37.0,1.0,0.63,67.0
AAA,2013J,145130,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass,0,-36.0,268,2,30.0,2.0,56.0,26.870057685088806,75.0,37.0,14.9,0.0,0.0,0.0,0.0,2.0,275.0,85.0,20.0,30.0,0.0,0.0,0.0,36.0,0.0,58.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,0.0,1.0,0.4966666666666667,36.0
AAA,2013J,146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,0,-132.0,268,2,30.0,2.0,52.5,0.7071067811865476,53.0,52.0,15.8,3.5,1.0,0.0,0.0,2.0,267.0,105.0,16.0,29.0,0.0,0.0,0.0,46.0,0.0,63.0,0.0,2.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,31.0,4.0,1.0,0.5266666666666667,132.0
AAA,2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,0,-92.0,268,2,30.0,2.0,74.5,3.5355339059327378,77.0,72.0,22.1,-1.0,0.0,0.0,0.0,2.0,436.0,139.0,39.0,25.0,0.0,0.0,0.0,86.0,0.0,120.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,25.0,5.0,1.0,0.7366666666666667,92.0
AAA,2013J,147793,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,1,-138.0,268,2,30.0,1.0,52.0,0.0,52.0,52.0,5.2,13.0,1.0,0.0,0.0,1.0,155.0,41.0,9.0,17.0,0.0,0.0,0.0,56.0,0.0,35.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,0.5,0.17333333333333334,138.0
AAA,2013J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,1,-174.0,268,2,30.0,2.0,69.0,1.4142135623730951,70.0,68.0,20.8,7.5,2.0,0.0,0.0,2.0,1236.0,364.0,63.0,44.0,0.0,0.0,0.0,603.0,1.0,250.0,0.0,0.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,29.0,7.0,1.0,0.6933333333333334,174.0
AAA,2013J,151358,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,0,-44.0,268,2,30.0,2.0,51.0,4.242640687119285,54.0,48.0,15.0,-2.0,0.0,0.0,0.0,2.0,40.0,21.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.5,44.0
AAA,2013J,155550,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass,0,-16.0,268,2,30.0,2.0,70.5,6.363961030678928,75.0,66.0,20.7,0.0,0.0,0.0,0.0,2.0,585.0,154.0,28.0,29.0,0.0,0.0,0.0,50.0,0.0,142.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,86.0,36.0,1.0,0.69,16.0
