Quiz,Assignment,Midterm,Final Project,Pass
75,76.41666667,68.5,45,1
50,63.41666667,53.5,65,1
0,39.16666667,19.5,0,0
100,82.83333333,70,90,1
100,70.91666667,30,58,0
75,80.08333333,91,83.5,1
100,76.41666667,80.5,90,1
100,83.33333333,75,100,1
62.5,71.75,81,36,1
100,33.66666667,25,93,0
100,87.75,88,95,1
87.5,74.58333333,70.5,72.5,1
100,88.5,92,100,1
100,83.66666667,73.5,65,1
37.5,78.5,58,51,1
100,94.08333333,93.5,100,1
87.5,77.5,75.5,63,1
50,31.83333333,17.5,0,0
0,8.5,27,0,0
100,97.16666667,98,100,1
100,88.66666667,65,85,1
100,76.5,75,71.5,1
100,85.5,78.5,95,1
100,84.58333333,40.5,70,1
100,80.16666667,93,72,1
100,91.5,93.5,91,1
50,82.83333333,78,85,1
100,85.5,90.5,78,1
100,90.5,94.5,93,1
87.5,54.08333333,74,38,1
100,92.16666667,84.5,31,1
100,93,91.5,100,1
100,79.91666667,69,93.5,1
87.5,68.66666667,78.5,50,1
87.5,68.25,81,31.5,1
37.5,59.91666667,62.5,77,1
25,44.5,62,63,1
87.5,87.66666667,88.5,75,1
75,43,38,65,0
100,61.5,56.5,55,1
87.5,78.58333333,14,96,0
75,87.75,61.5,72,1
100,80,74,60,1
100,91.66666667,81.5,90,1
37.5,34.91666667,60.5,0,0
100,76.16666667,61,66,1
100,90.16666667,82,53,1
100,70.33333333,50.5,58,1
75,73.91666667,59,90,1
100,87.16666667,91.5,78,1
87.5,75.5,87.5,90,1
12.5,88.41666667,67.5,56,1
50,54.58333333,67,20.5,1
100,88.41666667,89,80,1
62.5,71.5,46,62,1
100,87.66666667,95.5,90,1
87.5,62.41666667,90,64,1
50,45.66666667,60.5,83,1
100,80.66666667,78,80,1
12.5,39.83333333,71.5,0,0
75,76.83333333,92,75,1
0,8.5,17.5,0,0
0,0,0,0,0
50,36.16666667,51,64.5,0
100,87.58333333,80.5,78.5,1
100,71.5,61,97,1
37.5,40.16666667,53.5,75,1
100,95.16666667,97,100,1
100,91.25,90,100,1
100,92.75,87.5,100,1
100,75.5,59,100,1
87.5,77.66666667,63,90,1
100,80.91666667,71.5,71,1
100,95.08333333,100,100,1
100,92.41666667,91,100,1
100,93.16666667,100,100,1
100,91.08333333,88,100,1
62.5,63,94.5,68,1
100,32.75,78,0,0
100,86.58333333,82.5,100,1
75,90.75,80.5,44,1
100,89.83333333,70.5,100,1
100,95,100,100,1
100,85.91666667,90,100,1
75,61.66666667,47.5,43.5,0
37.5,42.25,39.5,0,0
100,97.75,100,100,1
0,0,39.5,0,0
100,81.41666667,87,100,1
100,88.58333333,100,100,1
100,72.16666667,81.5,100,1
0,16.16666667,18,18,0
100,95.91666667,80.5,100,1
100,94.66666667,71.5,100,1
87.5,76.83333333,57.5,42,1
100,77.58333333,66.5,0,1
100,76.25,65.5,53.5,1
87.5,95.25,87,100,1
50,97.58333333,98,100,1
12.5,71.41666667,68.5,21,1
100,82.58333333,88.5,100,1
12.5,27.66666667,0,0,0
0,67.25,54.5,61,1
100,91,90.5,100,1
100,80.41666667,72.5,90,1
75,88.16666667,64.5,100,1
50,90.58333333,66.5,90,1
50,83.41666667,71.5,100,1
0,30.08333333,45.5,0,0
100,86.58333333,100,100,1
100,91.91666667,94.5,100,1
0,0,60,90,0
100,76.08333333,80.5,59,1
87.5,81.25,94,100,1
75,67.91666667,65,74.5,1
87.5,83.58333333,56.5,55,1
37.5,56.5,87,73,0
75,64,10.5,100,0
87.5,85.58333333,83,100,1
100,93.58333333,96.5,100,1
0,3.166666667,21,67.5,0
87.5,60.41666667,91,95,1
50,64.83333333,55,59,1
100,95.41666667,90.5,100,1
100,96.75,98,96,1
25,75.25,42,100,1
37.5,58.08333333,84,66,1
100,82.25,66.5,100,1
100,86.41666667,92.25,100,1
62.5,40.33333333,59,63,0
75,74.91666667,61.5,54,1
100,90.16666667,82.5,100,1
25,85.58333333,77,0,1
87.5,61.75,13.5,90,0
0,75.25,77,41,1
100,80.25,61.5,100,1
100,91.75,60,100,1
0,0,0,0,0
0,7,0,49,0
100,85.25,86,100,1
100,77.91666667,89,100,1
100,88.75,89,100,1
100,72.16666667,82,52,1
62.5,90.25,100,100,1
37.5,34.58333333,34.5,0,0
100,53.58333333,59.5,75,1
75,81,83.5,83,1
37.5,78.25,72.5,87,1
37.5,70.58333333,71.5,0,1
100,85.41666667,96,96,1
100,92.25,93,100,1
62.5,56.5,46.5,21,0
100,74.41666667,92,100,1
100,90.75,86.5,100,1
62.5,77.41666667,100,85,1
0,38.83333333,48.5,0,0
62.5,72.5,94.5,0,1
0,68,56.5,79.5,1
100,83.08333333,79,100,1
87.5,74.58333333,50,0,1
50,73.25,39,96.5,1
75,80.75,81.5,100,1
0,0,43,52.5,0
100,86.66666667,95,100,1
12.5,91,68.5,100,1
