Size,Bedrooms,Bathrooms,Distance_to_school
1122,4,3,2.0714993
2225,2,1,1.048245863
1657,4,2,0.970718929
2829,3,3,1.592758345
2534,3,1,0.909130383
1773,5,2,1.25035977
1656,2,1,1.540928574
1392,4,3,1.711854635
1779,3,2,2.719981119
1859,4,1,1.179569966
1817,1,3,2.350061509
2078,4,1,0.89990069
2289,5,3,1.950515875
2174,1,2,1.524696509
1617,2,2,1.371842093
1281,4,1,1.188983723
2682,4,2,0.643744913
1655,1,1,1.578134201
1673,5,1,1.377434363
1739,5,2,1.650912333
1078,5,1,2.034824298
1761,2,1,2.276120626
1760,1,2,1.020265554
2310,3,3,1.848498302
2349,2,1,2.351778254
2001,5,1,1.888479993
2465,5,1,1.84289504
2169,4,2,1.254446864
1992,2,3,1.565051737
2080,1,2,2.987530603
1904,5,2,1.360999973
1802,3,2,1.660701045
1866,4,3,1.322021738
1435,1,2,1.371727134
2140,1,2,1.166124142
1503,1,2,1.259600006
2420,4,3,1.297022212
1875,3,3,1.383968921
2024,5,3,2.465750381
2246,4,3,1.406816169
2321,4,2,1.61772434
1214,3,3,1.694929476
1896,1,1,1.543939284
2440,5,2,1.010887148
1150,2,1,1.567759955
2193,1,3,1.108332014
872,1,1,1.393063603
1488,3,2,1.506143432
2019,2,2,1.858611252
1171,5,2,2.143593869
1507,5,1,1.910738739
1264,5,2,1.454663247
2824,3,2,0.5809708
2082,2,1,0.380177274
2283,2,3,1.73507754
1888,1,2,1.019163036
1823,4,3,1.241949834
1191,2,3,1.050644557
1854,5,2,0.965550351
1619,5,1,2.048914771
2428,4,3,1.654440012
2570,4,1,1.533311077
2733,1,2,1.442900437
2426,1,2,1.253405536
1700,3,2,1.597885791
1442,5,2,1.935397581
2383,3,2,1.259605324
2178,5,2,2.017567513
1115,3,1,1.176601278
2177,1,2,1.12823161
2407,2,3,2.122308866
2029,4,3,2.010647111
1907,5,2,1.551582447
1596,1,1,1.748537355
,1,2,0.983435974
2400,1,2,1.417939653
1845,3,2,1.28820848
1883,4,2,1.955745278
2866,1,1,1.792748121
2342,3,3,2.40755835
2185,1,3,1.739951907
2071,3,3,0.726430816
2759,2,3,1.301374185
2859,3,3,1.739947508
2464,5,3,1.172250031
2291,4,1,1.372342407
952,3,2,1.371306233
2061,4,1,1.589415633
1934,3,1,1.511579407
2046,4,1,1.93946192
2471,2,1,1.351469005
630,5,1,1.421671782
1715,5,1,1.297275189
2134,5,2,2.098117575
1766,3,1,1.672104514
1291,5,1,1.800296364
2434,1,3,1.54268743
2138,1,3,1.434767537
1514,5,2,0.943440795
2157,5,1,1.839594475
2410,3,3,1.059735122
2002,5,1,1.298414262
2400,4,3,1.575760608
2039,2,3,1.647878667
1802,3,3,1.851582538
1420,3,3,0.440667974
1957,1,1,2.388574144
2097,3,2,1.059652888
2437,3,3,1.016952823
1942,2,3,0.990300955
2228,4,2,0.858103249
1517,2,1,1.681436847
1608,4,3,0.616964522
1944,1,2,0.94356582
1472,2,1,2.060505415
2410,2,1,0.992629469
2231,2,1,2.110660538
2139,5,1,1.847468041
2169,5,1,0.848559863
3010,2,3,2.06746225
1765,3,3,1.318049848
899,1,1,1.644052934
2099,3,2,1.690777667
1974,1,1,1.503144616
1741,1,3,1.182958153
1510,5,2,1.69182496
1780,1,3,2.141613778
2090,2,3,2.092277447
1748,2,2,1.228023568
3206,1,1,1.935901182
1519,5,1,1.570785727
1603,3,3,1.427894339
855,5,2,1.047973212
2125,5,2,0.494020779
991,3,3,1.47461883
1730,2,2,1.781167859
1862,4,3,1.618661802
1645,5,2,1.191690531
2869,2,1,1.364481391
2497,1,3,2.397831395
2659,5,2,1.09630931
1558,5,2,2.288678167
2564,1,2,1.602632664
2248,4,3,1.651958518
2385,4,2,1.387328437
2514,3,2,0.607108786
1545,1,2,1.635909939
1787,2,3,2.383668556
2431,2,3,2.112585359
672,4,1,1.53565971
2756,3,3,1.750005927
2276,3,3,1.586672408
1977,2,3,1.252009845
2110,3,1,1.358483582
1485,4,1,1.251833787
1825,4,2,1.24875774
2550,3,3,1.818491061
2649,4,2,2.948065275
3348,4,2,0.847972617
1963,3,2,1.705066988
1670,4,3,1.474554269
1742,1,3,1.416439842
1490,4,1,1.925137541
1961,5,1,2.023296265
2191,2,2,1.42575781
1982,1,2,1.708637808
2548,3,3,2.179135124
1882,2,1,1.351454126
1826,5,2,1.955531303
1709,2,2,1.268659044
1183,4,1,0.971176288
1216,2,3,2.193800734
1410,3,2,1.487226808
2650,4,3,1.374206226
2447,4,2,0.755672845
2687,5,3,1.289059544
1333,2,2,1.981912103
1015,5,2,0.924788335
1669,4,2,1.899685292
2087,4,3,1.068349056
2249,5,1,1.087705744
2523,4,3,1.46999306
2142,2,3,2.16697609
2871,1,3,1.286151798
1888,5,2,1.503961373
1543,3,2,0.953137366
1159,1,3,0.881257351
1555,3,3,1.589656362
2121,4,2,1.777400942
1555,1,1,1.535718056
2468,4,2,1.256830649
2706,4,2,2.001516073
815,5,3,1.924804884
2432,3,3,2.055032197
880,2,2,1.444549304
2200,5,3,2.333561835
2612,5,2,1.394103932
2032,3,1,1.848215681
1360,5,3,1.534508423
1707,3,1,1.792882796
1869,5,2,1.411305456
1908,1,1,1.234988501
1898,3,3,1.885537571
1945,2,1,1.449621244
2106,5,3,2.012530353
1395,1,1,0.936629178
1878,2,3,1.765141345
2759,5,2,0.841159476
1807,5,1,1.652176066
1778,4,1,1.268712881
2539,5,1,1.732503242
720,2,3,2.121825491
2590,2,1,2.454846458
1684,1,1,0.769706251
2081,4,3,1.472097845
2048,1,3,1.599056129
2471,1,1,1.50811013
1866,5,1,1.745396966
1660,1,3,1.588201649
2648,3,1,1.173983386
817,4,1,0.220773541
2010,5,2,2.168443511
1326,3,2,1.220570542
1619,2,1,1.588180419
3005,4,2,2.165720732
1977,2,2,2.318924956
2097,2,3,1.8602559
1109,5,1,1.725911048
1635,3,1,1.106342794
2098,4,2,1.167809468
2177,5,2,1.125691182
2308,1,1,1.793981728
2004,4,3,2.55679931
2263,5,1,1.679002138
2226,4,3,1.303393871
1085,4,1,0.932320888
2018,5,1,1.142926033
2383,2,3,1.998641719
2294,2,3,0.938786906
1818,5,3,1.204480125
1597,4,3,1.105358161
1440,2,3,1.891655082
1934,3,3,1.46489178
2566,1,3,0.617863669
1024,1,2,1.206215339
1670,3,1,1.16510546
1430,3,3,1.95817797
2392,3,2,0.967543369
1722,4,1,0.976888464
1764,2,1,0.552870427
1891,3,1,1.958401144
2222,5,2,1.808933712
1803,1,2,1.12379532
476,1,1,1.22734654
2271,3,2,0.703756078
2219,2,2,1.307347489
1890,3,3,1.259286199
1457,5,2,1.720907934
2175,3,1,0.984796426
2189,4,1,1.209107768
1764,3,2,1.540622504
1891,4,2,1.274118711
1534,2,1,1.805661559
1910,2,1,1.76939867
1224,5,2,2.036412448
2208,2,2,1.884689929
1527,4,3,1.006288548
2119,2,1,1.427760282
1297,4,2,1.723165938
1704,5,2,0.66247815
1944,4,2,1.602429766
1169,3,1,1.744676728
2057,2,3,1.424592359
1810,1,2,0.82961195
1128,3,3,1.401764997
1348,4,1,2.014101308
2302,3,3,1.946369396
2447,3,3,1.851695984
1934,3,3,1.145549936
2202,3,1,0.557021975
2111,4,1,1.564107278
2164,2,2,1.477978773
2642,2,2,0.351653273
1246,3,2,0.992732155
2338,1,3,1.575209573
1808,2,3,1.667763714
1887,4,3,1.771950375
1848,4,1,1.599071791
1812,2,2,1.25301364
1386,4,1,1.607523534
2091,4,3,1.635580063
2835,5,2,1.799850476
1971,4,1,1.647909231
1999,2,2,1.602423082
1656,2,2,1.379506556
1941,1,2,1.191538323
2233,3,3,2.071438846
1814,2,3,1.587474912
1773,4,2,2.535304771
2201,1,3,2.28171794
1540,5,1,2.422079939
2126,1,1,1.906415223
2410,4,1,1.969563006
2679,2,3,2.065602152
1954,1,2,1.454269648
2683,4,1,2.088049856
2517,5,1,0.838548105
1501,1,3,1.907751421
1391,4,3,1.678340134
1847,3,3,2.082380824
2514,2,2,1.853393497
1963,4,2,1.25386305
1699,3,3,1.371184596
2776,2,1,1.288739603
2143,2,3,1.089795101
839,2,1,1.322534336
2158,3,3,2.282387797
2260,1,2,1.394891442
2112,3,1,2.327456401
2224,,2,1.105893148
1966,,1,1.742369089
1340,4,1,1.273241054
1814,5,3,1.764999748
1527,3,1,1.066104937
1533,3,3,1.920964913
1368,5,2,1.210037572
2226,3,3,1.656540125
2048,3,2,1.358152479
1775,5,2,1.941051604
1675,5,3,2.08501286
1988,5,1,1.544940661
2539,2,2,1.20850348
997,4,1,1.528396123
2188,5,2,1.591734566
1727,2,2,1.986501177
1057,4,2,1.116676707
1027,5,3,0.984965463
1543,3,3,1.480154044
2109,3,2,1.613507745
2196,4,3,1.640216096
1530,1,3,1.660174054
2508,4,2,1.362653227
2711,2,2,0.577514435
2198,3,3,1.547108763
1704,3,3,1.607463179
2562,5,2,0.996015044
2377,2,3,1.625864955
2433,1,2,1.914657857
1671,2,1,2.495339714
582,2,2,0.976939053
3058,2,2,1.05770207
1194,2,2,1.89804128
1982,1,1,1.765558774
3190,2,2,1.344326918
2165,1,2,1.858872436
2474,4,2,1.944816075
1248,2,1,1.616470715
1111,5,1,2.527300604
1733,1,3,0.866670546
2545,1,1,0.694712955
1826,2,2,0.835764952
1602,5,2,1.406482422
2098,5,3,1.625562298
2540,2,3,2.675190629
1277,5,2,0.829122264
1394,1,3,2.203124299
1605,2,1,1.336802241
2547,2,2,2.178912266
2117,2,2,2.281934224
3066,4,1,0.810071815
2468,2,2,0.940184007
1982,3,2,0.20398965
2632,3,1,0.497512767
2105,1,3,1.683995581
1647,4,2,1.222346062
2339,4,1,1.17646824
1651,5,1,1.246227485
1854,2,3,0.750918312
2663,3,3,0.528301011
1949,4,2,1.810864441
1598,3,1,1.451743218
1767,3,2,2.150951154
2510,2,1,0.978975891
1723,3,1,0.844627405
1806,1,2,1.942340972
1744,1,2,1.39932263
2091,4,1,1.761275726
1807,4,1,1.689616445
1199,5,2,1.706371478
1556,3,3,1.268744378
1533,4,1,1.119003658
2621,2,3,1.482456032
2406,4,2,1.576674659
2293,1,3,1.073826692
1747,3,3,1.164396501
1592,1,1,1.412978873
1746,4,1,2.200628879
1474,4,3,1.347397212
3248,1,1,1.850388967
877,5,3,1.051295377
2282,5,3,0.58771473
1357,4,2,1.107550348
1947,5,3,2.416116492
1505,1,2,0.945591411
1411,3,1,1.826581994
1429,4,3,0.357236359
2877,2,2,1.609621717
1933,5,2,1.215778833
1617,5,2,1.384040648
2277,2,3,1.375516324
2005,2,1,1.452055691
2360,1,3,1.95423476
1087,1,1,1.246204297
2151,5,2,0.589714654
2386,3,3,0.677566699
1169,1,2,1.708093995
2224,1,1,1.535470494
2848,4,2,1.569464114
1992,4,2,1.319277104
2410,1,1,1.917572718
2335,3,1,1.646170447
1646,5,2,0.869937694
2019,2,1,1.145424843
1216,1,3,1.635691994
1774,3,3,1.351733847
2132,3,1,1.221175962
2361,3,3,1.55661114
2012,1,2,0.328964183
2359,1,1,1.4176672
1448,3,3,1.171363999
1949,3,1,1.48564482
2009,1,3,1.796111418
2924,5,1,1.908142087
1892,1,2,1.204866949
1750,4,2,2.138209783
2010,3,1,0.826876641
1540,5,3,0.981470667
2096,2,3,1.202395298
1817,1,1,2.060297257
1104,3,3,1.626323106
1970,1,3,1.976944018
1841,2,1,1.7631827
1183,1,3,1.53091694
1966,5,2,0.759275676
2744,2,3,1.701496562
2260,4,1,2.455559764
2305,4,1,1.21201495
1329,3,1,1.112016897
2238,4,2,1.512526283
2074,1,3,1.445351895
2264,5,1,1.982008946
2211,4,1,1.760637636
1320,3,1,2.109866979
1979,1,3,1.553839434
1621,3,3,1.303029156
1974,3,3,2.080368419
1551,5,3,1.58978744
2656,5,3,1.360279012
1570,3,3,1.118126456
1550,3,1,1.626024512
2037,4,2,1.383323283
1461,4,1,1.522210565
1787,2,2,2.084616271
1585,5,1,1.661133085
2705,4,1,1.841510149
2392,3,2,2.212708218
1971,4,1,1.648694076
1804,2,2,2.060953425
2470,4,2,0.770291504
2202,3,2,1.554730486
2249,4,1,2.397058664
1986,4,3,0.661557124
1155,5,1,2.224134882
1943,5,1,1.955928847
1733,2,2,1.837302168
2322,2,2,2.192849834
2505,4,3,1.57371054
1671,5,2,0.90014075
2234,5,3,1.578082157
2867,4,1,1.134367038
1666,5,2,0.752134846
2840,1,1,1.144348854
1573,3,3,1.213622148
2011,1,3,1.53697966
1994,1,3,2.09480695
2005,1,1,1.723316884
1581,5,3,1.745372104
1704,4,3,1.309285834
1666,2,1,0.669062703
2163,3,1,2.572222506
2165,3,3,2.18490027
3112,1,2,2.125161391
2685,2,3,2.272869631
1745,4,2,1.663075749
2162,2,1,2.054431077
2498,2,1,1.24017478
2015,3,1,0.790409504
1965,5,1,2.121769749
2025,1,1,1.462002941
2433,5,1,0.835901006
1575,3,1,0.59217795
1837,2,2,1.296971008
2235,1,3,2.07603629
2155,4,3,0.829227308
2119,4,1,1.531987415
1815,2,1,1.301913541
2486,5,1,2.174395203
3066,5,3,1.176775879
2203,1,2,1.786300214
1903,3,2,1.243955556
2377,5,2,1.734476067
1730,4,3,0.854334593
1625,4,2,1.608333016
2016,4,1,0.806807661
708,5,1,0.735734775
1423,2,3,1.427162452
1826,5,2,0.796170024
1323,5,3,1.710928067
1483,1,3,2.080303575
1781,3,2,1.514397768
1178,5,2,1.684435062
1796,5,1,1.955776747
1732,3,2,2.509538382
2012,4,2,1.293337002
2577,3,1,1.774577313
2086,5,1,1.792279554
2010,2,1,0.568056817
2049,1,1,1.73421231
2113,1,2,1.482901193
1491,3,3,1.547066789
1942,3,3,2.146605844
2154,4,3,0.387116474
1314,1,1,1.107382117
2432,3,2,1.752473116
2540,5,3,0.751728341
1684,5,2,0.987094627
1879,2,2,1.465218145
1560,2,1,1.1651853
2349,3,1,2.167040217
1469,4,2,1.562287895
1888,4,2,1.829821105
1570,4,2,1.572321056
2025,4,2,1.602144456
1102,1,2,1.315856243
2663,4,2,2.01354511
1517,2,1,1.81787219
2029,2,2,0.629269235
1893,1,2,1.819668633
1618,3,3,1.847928887
1556,5,3,1.331645923
2468,2,3,2.050190906
1737,2,1,1.245146578
2135,1,2,1.530082461
1599,2,1,2.293641538
1676,5,2,1.370606567
2236,1,1,1.767614938
2465,4,1,1.150242636
1912,4,1,1.804492219
1289,4,1,1.659172192
2998,5,3,1.639964415
1571,3,1,1.632237887
1229,2,1,2.564237726
3297,5,2,2.221643614
1797,3,2,2.177510484
1269,1,3,1.284037943
1658,5,1,1.77842874
2183,1,2,1.352539649
2095,3,1,1.395417077
1574,5,1,1.130069334
2911,2,1,1.665906082
1739,3,2,1.163752673
1407,2,2,1.248770639
2480,1,1,0.944731008
2664,2,1,0.884028304
1591,5,1,0.943438797
1299,5,2,1.445320578
2515,4,1,1.588259379
976,2,3,2.249376246
1386,4,1,1.416116046
2483,3,3,0.557127273
1972,1,2,0.634847566
1868,3,1,2.015212328
2176,1,2,1.1583313
1923,2,3,1.276265819
1350,5,2,1.201917874
2638,2,2,2.436114895
2662,1,2,1.601597663
2102,4,1,1.113084275
2022,1,2,1.963559282
3169,4,3,1.688882981
1861,3,1,1.842274958
1870,5,3,1.232352005
2182,3,3,2.229411697
2735,2,1,1.777927414
2796,4,2,0.966474966
1870,4,2,1.471644551
2154,3,2,1.231976492
1310,5,2,2.044763696
1844,5,2,1.561216233
1579,3,3,0.880267824
1496,5,3,0.650915007
2840,2,1,1.600044701
1603,1,2,1.13274232
1734,4,2,2.147476992
2182,4,2,2.730897994
2648,4,3,2.331669833
2240,1,1,1.60737442
3379,2,2,1.583135015
1962,3,1,1.721743472
2129,5,3,1.298648816
2137,5,2,1.724596307
2717,1,3,1.544977849
2253,4,2,0.357852816
1941,5,1,1.224588206
1526,3,2,1.654545242
2122,5,2,1.499194288
2700,4,3,1.799431839
1794,3,1,2.491069318
2264,4,1,1.435521627
2123,4,2,2.227501326
2431,1,3,2.274854561
1597,4,2,1.501976115
3173,3,3,0.956177235
1360,1,2,1.466445657
1817,1,2,1.545632059
2469,3,3,1.351283548
2148,1,2,1.321957018
2414,3,1,1.50128565
1751,5,1,1.78963063
1962,1,3,0.702860878
2006,5,3,0.962989544
2784,1,2,0.73258506
2345,4,2,1.647182441
2398,3,1,1.888662352
1671,4,3,1.767017938
2484,5,3,1.319914557
2112,3,1,1.709575202
2694,3,3,2.01226205
3007,5,2,1.858602525
1846,3,3,1.205008251
1796,3,3,0.670016115
1567,1,2,1.220370545
1928,2,2,1.150866002
1808,4,1,1.099369255
2179,2,1,2.605929418
1927,3,1,1.090837386
1819,2,3,1.601008082
2532,1,2,1.424151016
1531,5,3,1.624945746
2216,5,2,0.429017377
1797,2,2,2.009621266
2362,1,3,1.225724349
2692,5,3,1.145072747
1848,2,3,1.086825198
2220,2,2,0.740038123
2089,4,2,2.5098344
1600,1,3,1.23394656
2120,4,2,2.017765255
2144,2,2,1.71517076
2206,4,3,2.198288888
1900,4,2,1.347548574
2047,2,1,2.471944339
1426,5,3,1.727657929
1820,3,1,0.714287925
